titre,titre_origine,score,genre,annee,duree,description,acteurs,public,pays
Louie,,8.5,"['Comedy', 'Drama']",2010–2015,22m,"The life of Louie C.K., a divorced comedian living in New York with two kids.","['Louis C.K.', 'Hadley Delany', 'Ursula Parker']",TV-MA,United States
Formula 1: Drive to Survive,,8.6,"['Documentary', 'Sport']",2019– ,40m,Docuseries following the FIA Formula One World Championship across multiple seasons.,"['Will Buxton', 'Jack Nicholls', 'Daniel Ricciardo']",TV-MA,United Kingdom
Long Way Round,,8.6,"['Documentary', 'Adventure']",2004–2010,5h 15m,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by...","['David Alexanian', 'Charley Boorman', 'Russ Malkin', 'Ewan McGregor', 'Charley Boorman', 'David Alexanian']",TV-PG,United Kingdom
What We Do in the Shadows,,8.6,"['Comedy', 'Fantasy', 'Horror']",2019– ,30m,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,"['Kayvan Novak', 'Matt Berry', 'Natasia Demetriou']",TV-MA,United States
"Yes, Prime Minister",,8.6,['Comedy'],1986–1987,30m,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,"['Paul Eddington', 'Nigel Hawthorne', 'Derek Fowlds']",TV-PG,United Kingdom
Impractical Jokers,,8.6,"['Comedy', 'Reality-TV']",2011– ,30m,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.","['James Murray', 'Brian Quinn', 'Sal Vulcano']",TV-14,United States
Black Sun,Original title: Senke nad Balkanom,8.9,"['Crime', 'Drama', 'Thriller']",2017– ,1h,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.","['Andrija Kuzmanovic', 'Marija Bergam', 'Dragan Bjelogrlic']",TV-MA,Serbia
Spaced,,8.6,"['Action', 'Comedy']",1999–2001,25m,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.","['Simon Pegg', 'Jessica Hynes', 'Julia Deakin']",TV-14,United Kingdom
The Venture Bros.,,8.6,"['Animation', 'Action', 'Adventure']",2003–2018,22m,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.","['Christopher McCulloch', 'James Urbaniak', 'Doc Hammer']",TV-14,United States
Battlestar Galactica,,8.5,"['Action', 'Adventure', 'Drama']",2003,3h 3m,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.","['Edward James Olmos', 'Mary McDonnell', 'Katee Sackhoff']",TV-14,United States
Dragon Ball,Original title: Dragon Ball: Doragon bôru,8.6,"['Animation', 'Action', 'Adventure']",1986–1989,25m,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.","['Masako Nozawa', 'Jôji Yanami', 'Brice Armstrong']",TV-14,Japan
Coupling,,8.6,"['Comedy', 'Romance']",2000–2004,30m,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,"['Jack Davenport', 'Gina Bellman', 'Sarah Alexander']",TV-14,United Kingdom
El Chavo del Ocho,,8.7,"['Comedy', 'Family']",1972–1983,30m,"The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.","['Ramón Valdés', 'Carlos Villagrán', 'Roberto Gómez Bolaños']",TV-PG,Mexico
The Bureau,Original title: Le Bureau des Légendes,8.7,"['Drama', 'Thriller']",2015– ,52m,,"['Mathieu Kassovitz', 'Florence Loiret Caille', 'Jonathan Zaccaï']",TV-MA,France
Dragon Ball,,8.6,"['Animation', 'Action', 'Adventure']",1995–2003,24m,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.","['Brice Armstrong', 'Steve Olson', 'Stephanie Nadolny']",TV-14,Japan
Flight of the Conchords,,8.6,"['Comedy', 'Music', 'Musical']",2007–2009,28m,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.","['Jemaine Clement', 'Bret McKenzie', 'Rhys Darby']",TV-MA,United States
The Queen's Gambit,,8.6,['Drama'],2020,1h,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","['Anya Taylor-Joy', 'Chloe Pirrie', 'Bill Camp']",TV-MA,United States
Homicide: Life on the Street,,8.7,"['Crime', 'Drama', 'Mystery']",1993–1999,1h,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,"['Richard Belzer', 'Clark Johnson', 'Yaphet Kotto']",TV-14,United States
Justice League,,8.6,"['Animation', 'Action', 'Adventure']",2001–2004,22m,Seven of the most formidable heroes form arguably the most powerful team ever.,"['Bob Kane', 'William Moulton Marston', 'Joe Shuster', 'Carl Lumbly', 'Phil LaMarr', 'Michael Rosenbaum']",TV-PG,United States
The Bugs Bunny Show,,8.6,"['Animation', 'Comedy']",1960–1975,30m,TV series featuring the classic Looney Tunes animated shorts.,"['Mel Blanc', 'June Foray', 'Daws Butler']",TV-G,United States
The Eric Andre Show,,8.6,"['Comedy', 'Talk-Show']",2012– ,11m,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.","['Eric André', 'Hannibal Buress', 'Tom Ato']",TV-MA,United States
Crash Landing on You,Original title: Sa-rang-eui bul-shi-chak,8.7,"['Adventure', 'Comedy', 'Romance']",2019–2020,1h 10m,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,"['Hyun Bin', 'Son Ye-jin', 'Seo Ji-hye']",TV-14,South Korea
Making a Murderer,,8.6,"['Documentary', 'Crime']",2015–2018,1h,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.","['Steven Avery', 'Dolores Avery', 'Laura Nirider']",TV-14,United States
The Newsroom,,8.6,['Drama'],2012–2014,55m,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.","['Jeff Daniels', 'Emily Mortimer', 'John Gallagher Jr.']",TV-MA,United States
The Haunting of Hill House,,8.6,"['Drama', 'Horror', 'Mystery']",2018,9h 32m,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","['Michiel Huisman', 'Carla Gugino', 'Henry Thomas']",TV-MA,United States
Boardwalk Empire,,8.6,"['Crime', 'Drama']",2010–2014,55m,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,"['Steve Buscemi', 'Kelly Macdonald', 'Michael Shannon']",TV-MA,United States
Pose,,8.6,['Drama'],2018–2021,1h,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.","['Michaela Jaé (MJ) Rodriguez', 'Dominique Jackson', 'Indya Moore']",TV-MA,United States
Justified,,8.6,"['Action', 'Crime', 'Drama']",2010–2015,44m,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.","['Timothy Olyphant', 'Nick Searcy', 'Joelle Carter']",TV-MA,United States
Yes Minister,,8.7,['Comedy'],1980–1984,30m,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.","['Paul Eddington', 'Nigel Hawthorne', 'Derek Fowlds']",TV-PG,United Kingdom
Anne with an E,Original title: Anne,8.7,"['Drama', 'Family']",2017–2019,1h,"The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.","['Amybeth McNulty', 'Geraldine James', 'R.H. Thomson']",TV-PG,Canada
Mr. Bean,,8.6,"['Comedy', 'Family']",1990–1995,25m,"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.","['Rowan Atkinson', 'Matilda Ziegler', 'Robin Driscoll']",TV-G,United Kingdom
Haikyu!!,Original title: Haikyuu!!,8.7,"['Animation', 'Comedy', 'Drama']",2014–2020,24m,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.","['Ayumu Murase', 'Kaito Ishikawa', 'Yu Hayashi']",TV-14,Japan
QI,,8.6,"['Comedy', 'Game-Show']",2003– ,30m,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.","['Alan Davies', 'Stephen Fry', 'Sandi Toksvig']",TV-PG,United Kingdom
Heartstopper,,8.7,"['Drama', 'Romance']",2022– ,30m,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,"['Joe Locke', 'Kit Connor', 'Yasmin Finney']",TV-14,United Kingdom
Dopesick,,8.6,['Drama'],2021,8h 12m,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.","['Michael Keaton', 'Peter Sarsgaard', 'Michael Stuhlbarg']",TV-MA,United States
The Offer,,8.7,"['Biography', 'Drama']",2022,9h 46m,Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,"['Miles Teller', 'Matthew Goode', 'Dan Fogler']",TV-MA,United States
Poirot,,8.6,"['Crime', 'Drama', 'Mystery']",1989–2013,1h 40m,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot.","['David Suchet', 'Hugh Fraser', 'Philip Jackson']",TV-14,United Kingdom
Yellowstone,,8.7,"['Drama', 'Western']",2018–2023,1h,A ranching family in Montana faces off against others encroaching on their land.,"['Kevin Costner', 'Luke Grimes', 'Kelly Reilly']",TV-MA,United States
Blackadder the Third,,8.6,['Comedy'],1987,3h,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.","['Rowan Atkinson', 'Tony Robinson', 'Hugh Laurie']",TV-PG,United Kingdom
Gomorrah,Original title: Gomorra: La serie,8.7,"['Crime', 'Drama', 'Thriller']",2014–2021,55m,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,"['Leonardo Fasoli', 'Stefano Bises', 'Roberto Saviano', 'Salvatore Esposito', ""Marco D'Amore"", 'Ivana Lotito']",TV-MA,Italy
Young Justice,,8.6,"['Animation', 'Action', 'Adventure']",2010–2022,23m,Teenage superheroes strive to prove themselves as members of the Justice League.,"['Greg Weisman', 'Brandon Vietti', 'Geoff Johns', 'Nolan North', 'Danica McKellar', 'Jesse McCartney']",TV-PG,United States
Mystery Science Theater 3000,,8.7,"['Comedy', 'Sci-Fi']",1988–1999,1h 32m,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.","['Joel Hodgson', 'Michael J. Nelson', 'Trace Beaulieu']",TV-14,United States
The Return of Sherlock Holmes,,8.7,"['Crime', 'Drama', 'Mystery']",1986–1988,1h,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.","['Jeremy Brett', 'Edward Hardwicke', 'Rosalie Williams']",TV-PG,United Kingdom
Adventure Time,,8.6,"['Animation', 'Action', 'Adventure']",2010–2018,11m,"A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future.","['John DiMaggio', 'Jeremy Shada', 'Tom Kenny']",TV-PG,United States
Yeh Meri Family,,9.0,"['Comedy', 'Drama', 'Family']",2018,30m,Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,"['Vishesh Bansal', 'Mona Singh', 'Akarsh Khurana']",TV-14,India
Mindhunter,,8.6,"['Crime', 'Drama', 'Mystery']",2017–2019,1h,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","['Jonathan Groff', 'Holt McCallany', 'Anna Torv']",TV-MA,United States
Demon Slayer: Kimetsu no Yaiba,Original title: Kimetsu no Yaiba,8.7,"['Animation', 'Action', 'Adventure']",2019– ,24m,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","['Natsuki Hanae', 'Zach Aguilar', 'Yoshitsugu Matsuoka']",TV-MA,Japan
Archer,,8.6,"['Animation', 'Action', 'Comedy']",2009– ,22m,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,"['H. Jon Benjamin', 'Judy Greer', 'Amber Nash']",TV-MA,United States
Lonesome Dove,,8.7,"['Adventure', 'Drama', 'Western']",1989,6h 24m,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,"['Robert Duvall', 'Tommy Lee Jones', 'Danny Glover']",TV-14,United States
Ramayan,,9.0,"['Adventure', 'Drama', 'Family']",1987–1988,30m,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.","['Arun Govil', 'Deepika Chikhalia', 'Sunil Lahri']",TV-14,India
It's a Sin,,8.7,"['Comedy', 'Drama', 'History']",2021,3h 59m,"A chronicle of four friends during a decade in which everything changed, including the rise of AIDS.","['Olly Alexander', 'Nathaniel Curtis', 'Shaun Dooley']",TV-MA,United Kingdom
Blackadder II,,8.6,['Comedy'],1986,2h 56m,"In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.","['Rowan Atkinson', 'Tony Robinson', 'Tim McInnerny']",TV-PG,United Kingdom
Monster,,8.7,"['Animation', 'Crime', 'Drama']",2004–2005,24m,A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,"['Hidenobu Kiuchi', ""Liam O'Brien"", 'Mamiko Noto']",TV-14,Japan
Critical Role,,9.3,"['Adventure', 'Fantasy']",2015– ,3h,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.","['Matthew Mercer', ""Liam O'Brien"", 'Marisha Ray']",TV-14,United States
Daredevil,,8.6,"['Action', 'Crime', 'Drama']",2015–2018,54m,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","['Charlie Cox', ""Vincent D'Onofrio"", 'Deborah Ann Woll']",TV-MA,United States
Primal,,8.7,"['Animation', 'Action', 'Adventure']",2019– ,22m,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,"['Aaron LaPlante', 'Laëtitia Eïdo', 'Fred Tatasciore']",TV-MA,United States
Naruto: Shippuden,Original title: Naruto: Shippûden,8.7,"['Animation', 'Action', 'Adventure']",2007–2017,24m,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","['Alexandre Crepet', 'Junko Takeuchi', 'Maile Flanagan']",TV-PG,Japan
The Jinx: The Life and Deaths of Robert Durst,,8.6,"['Documentary', 'Biography', 'Crime']",2015,4h 39m,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.","['Andrew Jarecki', 'Robert Durst', 'Gary Napoli']",TV-14,United States
Bleach: Thousand-Year Blood War,Original title: Bleach: Sennen Kessen-hen,9.0,"['Animation', 'Action', 'Adventure']",2022– ,24m,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","['Masakazu Morita', 'Johnny Yong Bosch', 'Takayuki Sugô']",TV-MA,Japan
The Bridge,Original title: Bron/Broen,8.6,"['Crime', 'Mystery', 'Thriller']",2011–2018,1h,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.","['Sofia Helin', 'Rafael Pettersson', 'Sarah Boberg']",TV-MA,Sweden
Code Geass,Original title: Code Geass: Hangyaku no Lelouch,8.7,"['Animation', 'Action', 'Drama']",2006–2008,24m,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.","['Jun Fukuyama', 'Takahiro Sakurai', 'Johnny Yong Bosch']",TV-14,Japan
Dexter,,8.7,"['Crime', 'Drama', 'Mystery']",2006–2013,53m,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.","['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas']",TV-MA,United States
Atlanta,,8.6,"['Comedy', 'Drama', 'Music']",2016–2022,30m,"Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.","['Donald Glover', 'Brian Tyree Henry', 'LaKeith Stanfield']",TV-MA,United States
This Is Us,,8.7,"['Comedy', 'Drama', 'Romance']",2016–2022,45m,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.","['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown']",TV-14,United States
Deadwood,,8.6,"['Crime', 'Drama', 'History']",2004–2006,55m,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.","['Timothy Olyphant', 'Ian McShane', 'Molly Parker']",TV-MA,United States
Behzat Ç.: Bir Ankara Polisiyesi,,8.9,"['Crime', 'Drama', 'Mystery']",2010–2019,1h 30m,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other crimes that happens on a weekly basis, the undertone of the story leads to an eventual due...","['Erdal Besikçioglu', 'Inanç Konukçu', 'Ege Aydan']",TV-14,Turkey
Parks and Recreation,,8.6,['Comedy'],2009–2015,22m,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,"['Amy Poehler', ""Jim O'Heir"", 'Nick Offerman']",TV-14,United States
Father Ted,,8.7,['Comedy'],1995–1998,25m,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.","['Dermot Morgan', ""Ardal O'Hanlon"", 'Frank Kelly']",TV-14,United Kingdom
Aspirants,,9.2,['Drama'],2021– ,,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,"['Naveen Kasturia', 'Shivankit Singh Parihar', 'Abhilash Thapliyal']",,India
Mahabharat,,9.0,"['Adventure', 'Drama', 'History']",1988–1990,45m,"When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation.","['Harish Bhimani', 'Nitish Bharadwaj', 'Mukesh Khanna']",TV-14,India
The Crown,,8.6,"['Biography', 'Drama', 'History']",2016–2023,58m,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,"['Claire Foy', 'Olivia Colman', 'Imelda Staunton']",TV-MA,United Kingdom
The X-Files,Original title: The X Files,8.6,"['Crime', 'Drama', 'Mystery']",1993–2018,45m,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.","['David Duchovny', 'Gillian Anderson', 'Mitch Pileggi']",TV-14,United States
Line of Duty,,8.7,"['Crime', 'Drama', 'Mystery']",2012–2021,1h,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","['Martin Compston', 'Vicky McClure', 'Adrian Dunbar']",TV-14,United Kingdom
1883,,8.7,"['Drama', 'Western']",2021–2022,1h,Follows the Dutton family as they embark on a journey west.,"['Sam Elliott', 'Tim McGraw', 'Faith Hill']",TV-MA,United States
Top Gear,,8.7,"['Adventure', 'Comedy', 'Sport']",2002– ,1h,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.","['Jeremy Clarkson', 'Richard Hammond', 'James May']",TV-PG,United Kingdom
Justice League Unlimited,,8.7,"['Animation', 'Action', 'Adventure']",2004–2006,23m,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,"['George Newbern', 'Kevin Conroy', 'Phil LaMarr']",TV-Y7-FV,United States
House of Cards,,8.7,['Drama'],2013–2018,51m,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"['Kevin Spacey', 'Michel Gill', 'Robin Wright']",TV-MA,United States
Friday Night Lights,,8.7,"['Drama', 'Sport']",2006–2011,44m,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.","['Kyle Chandler', 'Connie Britton', 'Zach Gilford']",TV-14,United States
The Grand Tour,,8.7,"['Comedy', 'Sport', 'Talk-Show']",2016– ,1h,"Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.","['Jeremy Clarkson', 'James May', 'Richard Hammond']",TV-14,United Kingdom
Berserk,Original title: Kenpuu Denki Berserk,8.7,"['Animation', 'Action', 'Adventure']",1997–1998,23m,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.","['Marc Diraison', 'Nobutoshi Canna', 'Carrie Keranen']",TV-MA,Japan
Sarabhai V/S Sarabhai,,9.0,['Comedy'],2004–2017,30m,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi background.","['Satish Shah', 'Ratna Pathak Shah', 'Sumeet Raghavan']",TV-PG,India
The Marvelous Mrs. Maisel,,8.7,"['Comedy', 'Drama']",2017–2023,57m,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?","['Rachel Brosnahan', 'Alex Borstein', 'Michael Zegen']",TV-MA,United States
Star Trek: The Next Generation,,8.7,"['Action', 'Adventure', 'Sci-Fi']",1987–1994,44m,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","['Patrick Stewart', 'Brent Spiner', 'Jonathan Frakes']",TV-PG,United States
The Adventures of Sherlock Holmes,,8.7,"['Crime', 'Drama', 'Mystery']",1984–1985,1h,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.","['Jeremy Brett', 'David Burke', 'Rosalie Williams']",TV-PG,United Kingdom
Peep Show,,8.7,['Comedy'],2003–2015,25m,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,"['David Mitchell', 'Robert Webb', 'Matt King']",TV-MA,United Kingdom
Stranger Things,,8.7,"['Drama', 'Fantasy', 'Horror']",2016–2024,51m,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder']",TV-14,United States
Invincible,,8.7,"['Animation', 'Action', 'Adventure']",2021– ,50m,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,"['Steven Yeun', 'J.K. Simmons', 'Sandra Oh']",TV-MA,United States
Mad Men,,8.7,['Drama'],2007–2015,47m,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","['Jon Hamm', 'Elisabeth Moss', 'Vincent Kartheiser']",TV-MA,United States
Downton Abbey,,8.7,"['Drama', 'Romance']",2010–2015,58m,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"['Hugh Bonneville', 'Phyllis Logan', 'Elizabeth McGovern']",TV-PG,United Kingdom
Severance,,8.7,"['Drama', 'Mystery', 'Sci-Fi']",2022– ,55m,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","['Adam Scott', 'Zach Cherry', 'Britt Lower']",TV-MA,United States
Vinland Saga,,8.8,"['Animation', 'Action', 'Adventure']",2019– ,24m,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,"['Yûto Uemura', 'Alejandro Saab', 'Mike Haimoto']",TV-MA,Japan
Panchayat,,8.9,"['Comedy', 'Drama']",2020– ,35m,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.","['Jitendra Kumar', 'Raghuvir Yadav', 'Chandan Roy']",TV-14,India
Battlestar Galactica,,8.7,"['Action', 'Adventure', 'Drama']",2004–2009,44m,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.","['Edward James Olmos', 'Mary McDonnell', 'Jamie Bamber']",TV-14,United States
The Shield,,8.7,"['Crime', 'Drama', 'Thriller']",2002–2008,47m,Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.,"['Michael Chiklis', 'Walton Goggins', 'Michael Jace']",TV-MA,United States
House,Original title: House M.D.,8.7,"['Drama', 'Mystery']",2004–2012,44m,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"['Hugh Laurie', 'Omar Epps', 'Robert Sean Leonard']",TV-14,United States
One Punch Man,Original title: One Punch Man: Wanpanman,8.7,"['Animation', 'Action', 'Comedy']",2015–2019,24m,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","['Makoto Furukawa', 'Kaito Ishikawa', 'Max Mittelman']",TV-PG,Japan
Gullak,,9.1,"['Comedy', 'Drama', 'Family']",2019– ,,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.","['Jameel Khan', 'Geetanjali Kulkarni', 'Vaibhav Raj Gupta']",,India
The Mandalorian,,8.7,"['Action', 'Adventure', 'Fantasy']",2019– ,40m,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","['Pedro Pascal', 'Chris Bartlett', 'Katee Sackhoff']",TV-14,United States
The Simpsons,,8.7,"['Animation', 'Comedy']",1989– ,22m,The satiric adventures of a working-class family in the misfit city of Springfield.,"['Dan Castellaneta', 'Nancy Cartwright', 'Harry Shearer']",TV-14,United States
Fleabag,,8.7,"['Comedy', 'Drama']",2016–2019,27m,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,"['Phoebe Waller-Bridge', 'Sian Clifford', 'Olivia Colman']",TV-MA,United Kingdom
Arrested Development,,8.7,['Comedy'],2003–2019,22m,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","['Jason Bateman', 'Michael Cera', 'Portia de Rossi']",TV-14,United States
The Boys,,8.7,"['Action', 'Comedy', 'Crime']",2019– ,1h,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"['Karl Urban', 'Jack Quaid', 'Antony Starr']",TV-MA,United States
